victim_amount,fact_date,fact_time,street_type,street_name,cross_name,comuna,victim,accused
2,2017-04-28,11:08:08,AUTOPISTA,AUTOPISTA PERITO MORENO,,9,MOTO,CARGAS
1,2017-05-01,03:47:47,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,7,AUTO,AUTO
1,2017-05-05,03:40:00,GRAL PAZ,"PAZ, GRAL. AV.",GOLETA SANTA CRUZ,8,PEATON,CARGAS
1,2017-05-05,20:16:22,CALLE,VIEYTES,VILLARINO,4,MOTO,CARGAS
1,2017-05-07,21:00:00,AVENIDA,DE LOS CONSTITUYENTES AV.,"MORAN, PEDRO",15,MOTO,AUTO
1,2017-05-09,08:30:00,AVENIDA,DE LOS CONSTITUYENTES AV.,,12,AUTO,AUTO
1,2017-05-09,23:10:00,AVENIDA,CORDOBA AV.,LIBERTAD,1,PEATON,MOTO
1,2017-05-11,09:24:00,CALLE,BRASIL,LIMA,1,PEATON,PASAJEROS
1,2017-05-13,07:20:00,AVENIDA,ESCALADA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,MOTO,OBJETO FIJO
1,2017-05-15,13:29:30,AVENIDA,PARAGUAY,CALLAO AV.,2,PEATON,MOTO
1,2017-05-15,16:00:00,AVENIDA,"JUSTO, JUAN B. AV.",SAN BLAS,10,MOTO,CARGAS
1,2017-05-17,10:13:00,AVENIDA,CHILE,9 DE JULIO AV.,1,PEATON,PASAJEROS
1,2017-05-20,05:00:00,CALLE,MAIPU,"PERON, JUAN DOMINGO, TTE. GENERAL",1,CARGAS,AUTO
1,2017-05-22,16:00:00,AVENIDA,SUAREZ AV.,HERRERA,4,BICICLETA,CARGAS
1,2017-05-22,18:10:00,AVENIDA,SAN MARTIN AV.,FRAGATA PRES. SARMIENTO,15,PEATON,PASAJEROS
1,2017-05-23,02:45:00,AVENIDA,DIRECTORIO AV.,"MORENO, JOSE MARIA AV.",6,MOTO,CARGAS
1,2017-05-27,19:50:00,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",,8,MOTO,OBJETO FIJO
1,2017-05-24,14:15:00,GRAL PAZ,"PAZ, GRAL. AV.","SCHMIDL, ULRICO",9,MOTO,SD
1,2017-05-30,13:20:00,CALLE,NUEVA YORK,,11,PEATON,AUTO
1,2017-06-03,23:20:00,AVENIDA,DE LOS CONSTITUYENTES AV.,VALLEJOS,12,AUTO,AUTO
1,2017-06-04,09:00:00,AVENIDA,CORRIENTES AV.,ECUADOR,3,MOTO,AUTO
1,2017-06-04,12:50:00,CALLE,CASCO,,9,SD,SD
1,2017-06-12,22:38:00,AVENIDA,DE MAYO AV.,9 DE JULIO AV.,1,PEATON,MOTO
