victim_date,role,victim,age
2017-06-19,CONDUCTOR,MOTO,33
2017-06-22,PEATON,PEATON,95
2017-06-25,PEATON,PEATON,36
2017-07-04,CONDUCTOR,MOTO,37
2017-07-05,PEATON,PEATON,73
2017-07-07,PEATON,PEATON,84
2017-07-09,PEATON,PEATON,30
2017-07-10,PEATON,PEATON,73
2017-07-10,PEATON,PEATON,43
2017-07-15,PEATON,PEATON,22
2017-07-15,CONDUCTOR,MOTO,58
2017-07-24,PEATON,PEATON,66
2017-07-25,PEATON,PEATON,-1
2017-07-27,CICLISTA,BICICLETA,56
2017-08-06,CONDUCTOR,MOTO,36
2017-08-07,PEATON,PEATON,87
2017-08-08,PEATON,PEATON,61
2017-08-17,CICLISTA,BICICLETA,28
2017-08-21,PASAJERO_ACOMPAÑANTE,MOTO,16
2017-08-23,PEATON,PEATON,61
2017-08-24,PEATON,PEATON,46
2017-08-25,PEATON,PEATON,18
2017-08-31,PEATON,PEATON,85
2017-09-01,CONDUCTOR,MOTO,41
2017-09-02,PASAJERO_ACOMPAÑANTE,AUTO,17
2017-09-02,PASAJERO_ACOMPAÑANTE,AUTO,10
2017-09-04,CONDUCTOR,MOTO,21
2017-09-06,PEATON,PEATON,56
2017-09-07,PEATON,PEATON,79
2017-09-10,PASAJERO_ACOMPAÑANTE,AUTO,1
2017-09-10,PASAJERO_ACOMPAÑANTE,AUTO,-1
2017-09-11,PEATON,PEATON,76
2017-09-15,CONDUCTOR,AUTO,26
2017-09-19,CONDUCTOR,MOTO,34
2017-09-20,CONDUCTOR,MOTO,22
2017-09-22,PASAJERO_ACOMPAÑANTE,MOTO,26
2017-10-02,CONDUCTOR,MOTO,20
2017-10-10,PEATON,PEATON,36
2017-10-12,CONDUCTOR,MOTO,51
2017-10-13,CONDUCTOR,MOTO,29
2017-10-14,PASAJERO_ACOMPAÑANTE,AUTO,39
2017-10-14,CONDUCTOR,AUTO,36
2017-10-16,PASAJERO_ACOMPAÑANTE,MOTO,24
2017-10-17,PEATON,PEATON,60
2017-10-26,CONDUCTOR,MOTO,57
2017-10-27,CONDUCTOR,AUTO,23
2017-10-30,CONDUCTOR,MOTO,23
2017-11-06,PEATON,PEATON,47
2017-11-07,CONDUCTOR,MOTO,24
2017-11-16,PEATON,PEATON,55
2017-11-17,PEATON,PEATON,60
2017-11-19,PASAJERO_ACOMPAÑANTE,MOTO,25
2017-11-19,PASAJERO_ACOMPAÑANTE,AUTO,15
2017-11-19,CONDUCTOR,MOTO,24
2017-11-23,PEATON,PEATON,22
2017-11-25,CONDUCTOR,AUTO,50
2017-11-26,PASAJERO_ACOMPAÑANTE,AUTO,50
2017-11-26,CONDUCTOR,MOTO,58
2017-11-28,CONDUCTOR,MOTO,49
2017-11-29,PEATON,PEATON,82
2017-11-30,PEATON,PEATON,13
2017-12-04,PEATON,PEATON,56
2017-12-04,PEATON,PEATON,-1
2017-12-06,CICLISTA,BICICLETA,19
2017-12-11,PASAJERO_ACOMPAÑANTE,MOTO,-1
2017-12-11,CONDUCTOR,MOTO,30
2017-12-11,PEATON,PEATON,76
2017-12-17,CONDUCTOR,AUTO,53
2017-12-18,CONDUCTOR,MOTO,32
2017-12-20,CONDUCTOR,MOTO,27
2017-12-22,PEATON,PEATON,30
2017-12-26,PEATON,PEATON,30
2018-01-01,PEATON,PEATON,83
2018-01-03,CICLISTA,BICICLETA,26
2018-01-05,PEATON,PEATON,58
2018-01-09,CONDUCTOR,MOTO,39
2018-01-09,PEATON,PEATON,54
2018-01-10,CICLISTA,BICICLETA,45
2018-01-11,CONDUCTOR,AUTO,46
2018-01-12,CONDUCTOR,MOTO,32
2018-01-14,CONDUCTOR,MOTO,19
2018-01-18,CONDUCTOR,MOTO,40
2018-01-19,PEATON,PEATON,84
2018-01-26,CONDUCTOR,MOTO,20
2018-01-28,CONDUCTOR,MOTO,44
2018-01-31,PEATON,PEATON,-1
2018-02-06,CONDUCTOR,MOTO,28
2018-02-06,PASAJERO_ACOMPAÑANTE,MOTO,19
2018-02-15,CONDUCTOR,MOTO,31
2018-02-17,PEATON,PEATON,35
2018-02-17,CONDUCTOR,MOTO,26
2018-02-17,PEATON,PEATON,80
2018-02-19,CONDUCTOR,MOTO,26
2018-02-22,PEATON,PEATON,62
2018-02-24,CONDUCTOR,MOTO,28
2018-02-24,CONDUCTOR,MOTO,28
2018-02-28,PEATON,PEATON,70
2018-03-04,PEATON,PEATON,70
2018-03-09,CONDUCTOR,MOVIL,24
2018-03-09,PASAJERO_ACOMPAÑANTE,MOVIL,30
2018-03-11,PEATON,PEATON,74
2018-03-13,PEATON,PEATON,71
2018-03-15,CONDUCTOR,MOTO,26
2018-03-20,CONDUCTOR,MOTO,24
2018-03-28,CONDUCTOR,MOTO,31
2018-04-02,PEATON,PEATON,70
2018-04-07,CONDUCTOR,MOTO,42
2018-04-11,PEATON,PEATON,24
2018-04-12,PEATON,PEATON,39
2018-04-13,CONDUCTOR,MOTO,37
2018-04-18,PEATON,PEATON,84
2018-04-20,PEATON,PEATON,59
2018-04-20,PEATON,PEATON,61
2018-04-21,PEATON,PEATON,37
2018-04-27,PEATON,PEATON,-1
2018-04-27,PEATON,PEATON,78
2018-04-27,PASAJERO_ACOMPAÑANTE,MOTO,23
2018-04-28,CONDUCTOR,MOTO,25
2018-04-28,PEATON,PEATON,50
2018-04-30,CONDUCTOR,AUTO,60
2018-05-02,PEATON,PEATON,11
2018-05-08,PEATON,PEATON,82
2018-05-09,PEATON,PEATON,57
2018-05-11,PEATON,PEATON,40
